關卡,原答案,修改欄位,原內容,新內容,原因
4,亡羊補牢,提示,事後及時補救,丟了牲口修欄圈,提示含答案字「補」
6,一箭雙鵰,提示,一舉兩得,單發射落兩隻大鳥,提示「一舉兩得」本身是題目答案；出處：《北史》無獨立〈長孫晟傳〉，長孫晟事附於卷二二〈長孫道生列傳〉；教育部成語典典源即作《北史．卷二二．長孫道生列傳》。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=1555&webMd=2&la=0
6,一箭雙鵰,出處,《北史・長孫晟傳》,《北史・長孫道生列傳》,提示「一舉兩得」本身是題目答案；出處：《北史》無獨立〈長孫晟傳〉，長孫晟事附於卷二二〈長孫道生列傳〉；教育部成語典典源即作《北史．卷二二．長孫道生列傳》。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=1555&webMd=2&la=0
7,虎頭蛇尾,圖謎,🐯🗣️🐍〰️,🐯➡️🐍💤,提示含「頭尾」；🗣️（說話）不能表示「頭」
7,虎頭蛇尾,提示,開頭好結尾差,開始猛烈收場草率,提示含「頭尾」；🗣️（說話）不能表示「頭」
10,鶴立雞群,圖謎,🦢🐔🐔🐔,🦩⬆️🐔🐔🐔,🦢天鵝不是鶴，易誤導
12,錦上添花,圖謎,🧣➕🌸,👘➕🌸,提示含「上」且與釋義相同；🧣圍巾不像錦緞
12,錦上添花,提示,好上加好,美事更加美滿,提示含「上」且與釋義相同；🧣圍巾不像錦緞
13,杯弓蛇影,提示,疑神疑鬼,酒中倒映嚇壞人,提示與釋義幾乎相同
15,百發百中,提示,每次都命中,每箭都射準,提示含「中」
16,九牛一毛,圖謎,9️⃣🐂1️⃣〰️,9️⃣🐂➡️1️⃣🦱,〰️表示毛太牽強
17,胸有成竹,提示,事前早有打算,下筆前已構思好,提示含「有」
19,臥薪嘗膽,圖謎,🛌🪵👅🟢,🛌🪵👅🤢,🟢代表膽太牽強
20,聞雞起舞,提示,及時奮發,天沒亮就練劍,提示與釋義相同
21,紙上談兵,提示,空談理論,只會空講理論,提示含「談」
22,掩耳盜鈴,提示,自欺欺人,以為別人也聽不見,提示「自欺欺人」本身是題目答案
24,拔苗助長,答案,拔苗助長,揠苗助長,台灣通行寫法為「揠苗助長」
25,鷸蚌相爭,提示,相持不下,讓第三者得利,提示含「相」且沒點出第三者得利
33,口是心非,提示,心口不一,說的想的不一樣,提示含「心口」
35,半途而廢,提示,做到一半就停,沒做完就放棄,提示含「半」
36,水滴石穿,提示,持之以恆,小力量長久累積,提示「持之以恆」本身是題目答案
38,鳥語花香,提示,春光明媚,春天鶯啼芬芳四溢,提示「春光明媚」本身是題目答案
39,殺雞儆猴,提示,懲一儆百,懲罰一人警告眾人,提示含「儆」
41,一刀兩斷,圖謎,1️⃣🔪2️⃣🪵,1️⃣🔪➡️2️⃣💔,提示含「斷」；🪵木頭誤導
41,一刀兩斷,提示,斷絕關係,從此不再往來,提示含「斷」；🪵木頭誤導
43,十全十美,提示,完美無缺,毫無缺陷,提示含「美」
44,如虎添翼,圖謎,🐯➕🪽,🐯➕🦅🪶,🪽為Unicode 15；出處《心書》為別名，依教育部成語典改為《將苑・兵權》
44,如虎添翼,出處,三國・諸葛亮《心書》,三國・諸葛亮《將苑・兵權》,🪽為Unicode 15；出處《心書》為別名，依教育部成語典改為《將苑・兵權》
46,金雞獨立,圖謎,🟡🐔1️⃣🦵,🪙🐔1️⃣🦵,提示含「立」；🟡代表金太牽強
46,金雞獨立,提示,單腳站立,用一條腿站著,提示含「立」；🟡代表金太牽強
49,心花怒放,圖謎,❤️🌸😤💥,❤️🌺💥😄,😤是生氣表情，與「怒放」（盛開）意思相反，易誤導
52,雞犬不寧,提示,騷擾得很厲害,連家禽都被驚擾,提示與釋義相同
54,一日千里,圖謎,1️⃣☀️1000🛣️,1️⃣☀️🐎💨🛣️,「1000」是ASCII數字不是emoji
57,三心二意,提示,猶豫不決,拿不定想法,提示「猶豫不決」本身是題目答案
58,人山人海,提示,人非常多,擠得水洩不通,提示含「人」
59,馬到成功,提示,很快取得成功,出征立刻凱旋,提示含「成功」；釋義不精確；出處《小尉遲》無法確認，教育部成語典書證為鄭廷玉《楚昭公》
